ID,Likes,Dislikes
000382,364777,3329
000383,269531,9715
000384,403282,2644
000385,827120,905
000386,986943,74
000387,849644,7895
000388,218440,2394
000389,164633,2678
000390,70442,4271
000391,832575,5771
000392,932690,9439
000393,53461,3470
000394,309496,8095
000395,675052,889
000396,662938,7243
000397,74654,4275
000398,946756,8522
000399,249886,6353
000400,534419,8444
000401,233214,7254
000402,692737,119
000403,382933,491
000404,103467,2268
000405,103488,5956
000406,821882,9809
000407,507275,3959
000408,952275,1199
000409,292187,1787
000410,296873,6126
000411,264909,8319
000412,688634,9182
000413,126986,7771
000414,630723,2346
000415,171120,4876
000416,762030,3519
000417,562451,959
000418,969941,9956
000419,857453,5848
000420,109052,7581
000421,660528,1997
000422,49575,5147
000423,798975,98
000424,68415,1798
000425,79822,764
000426,533453,7522
000427,480607,1803
000428,220337,7959
000429,420668,6912
000430,548249,532
000431,26552,1883
000432,934841,4476
000433,634983,1442
000434,951832,8305
000435,945280,3680
000436,620788,8273
000437,946808,4035
000438,382323,9720
000439,597598,5804
000440,466517,8200
000441,441418,7591
000442,346375,3318
000443,791328,5326
000444,204739,674
000445,745498,7387
000446,847292,4697
000447,431941,943
000448,411875,212
000449,583612,151
000450,792298,1641
000451,239801,2008
000452,849585,3059
000453,53939,4717
000454,27290,1527
000455,95248,7491
000456,523616,3765
000457,227005,7401
000458,351790,3880
000459,522163,2645
000460,322624,5393
000461,678374,9678
000462,521703,6250
000463,638693,9920
000464,89467,7780
000465,138184,1810
000466,637127,7502
000467,864829,5064
000468,966169,6156
000469,537325,9338
000470,397410,8827
000471,233606,9717
000472,597267,8809
000473,206157,4397
000474,920603,9429
000475,890229,7046
000476,610838,2132
000477,468509,8149
000478,811660,6431
000479,805696,2032
000480,727312,526
000481,381184,1076
000482,960306,5165
000483,360962,1807
000484,243725,7203
000485,729210,5965
000486,761127,9047
000487,373937,6372
000488,81558,8729
000489,608833,933
000490,531043,5634
000491,238383,7454
000492,538218,8557
000493,888968,1299
000494,950883,753
000495,346549,7028
000496,52064,2965
000497,200540,9130
000498,244999,6552
000499,711206,4472
000500,499593,2215
000501,823951,344
000502,873597,3881
000503,352241,9479
000504,918117,5803
000505,119163,3600
000506,735897,7823
000507,792400,8807
000508,288770,4780
000509,55362,8125
000510,686561,7933
000511,719952,6268
000512,423900,3311
000513,144772,9323
000514,800776,1179
000515,357118,365
000516,841543,4622
000517,420409,9784
000518,326006,7445
000519,600762,1330
000520,913935,8317
000521,823292,6376
000522,567499,284
000523,234464,5267
000524,128853,7630
000525,529943,5239
000526,601289,365
000527,583901,5072
000528,395003,2394
000529,26668,2589
000530,646875,9577
000531,323208,6417
000532,228481,3606
000533,12167,2328
000534,183997,301
000535,24295,6242
000536,82433,1697
000537,927390,5567
000538,84423,7113
000539,545477,8824
000540,653384,2524
000541,819520,7562
000542,872289,6499
000543,876728,4012
000544,398856,2738
000545,748113,5004
000546,517766,6196
000547,595041,9454
000548,186941,5120
000549,667259,3986
000550,704427,3806
000551,774732,3735
000552,574231,5071
000553,351887,6928
000554,355280,4130
000555,948882,7809
000556,474767,2251
000557,27992,3509
000558,911888,7718
000559,60416,1607
000560,781930,9056
000561,694093,9145
000562,138438,2768
000563,263247,7676
000564,434065,7502
000565,231603,1053
000566,164338,7531
000567,107199,1387
000568,2766,1637
000569,320370,6986
000570,249065,8840
000571,457555,832
000572,649716,8695
000573,820131,5548
000574,947282,6195
000575,283254,2565
000576,30136,5619
000577,735076,7461
000578,705099,7476
000579,159633,9361
000580,335837,8885
000581,256244,4747
000582,877155,231
000583,765351,5561
000584,173453,341
000585,185870,4606
000586,65830,9951
000587,860057,3163
000588,401886,5524
000589,29926,4826
000590,512147,1449
000591,916598,3243
000592,536114,9138
000593,726402,9600
000594,178980,6144
000595,884237,4765
000596,689790,6363
000597,264396,165
000598,545578,3175
000599,382662,8119
000600,596119,2073
000601,432052,7658
000602,357191,5161
000603,826668,5918
000604,309505,8471
000605,854458,7667
000606,690412,7439
000607,211047,979
000608,940562,9933
000609,167238,5937
000610,682777,3228
000611,218152,9336
000612,633422,8081
000613,767876,1319
000614,287282,1734
000615,825879,7337
000616,904191,6472
000617,688079,8929
000618,200285,9315
000619,130840,2127
000620,858080,4247
000621,269392,5090
000622,601099,4870
000623,376332,5859
000624,243495,2522
000625,410904,5242
000626,347348,2314
000627,112402,3889
000628,613133,7964
000629,499717,6932
000630,953048,8819
000631,593331,6417
000632,137238,1131
000633,394938,480
000634,764897,3353
000635,865236,5831
000636,528731,9567
000637,999641,9007
000638,436979,8321
000639,839267,288
000640,937997,353
000641,928582,2539
000642,534246,5636
000643,450688,4726
000644,922683,4014
000645,24295,9203
000646,158073,5820
000647,952325,2783
000648,800672,5855
000649,220707,8499
000650,201016,9548
000651,147447,4276
000652,521077,3477
000653,958769,2801
000654,258671,6167
000655,299180,5681
000656,172228,482
000657,545979,4958
000658,308691,462
000659,943687,4672
000660,331474,3417
000661,472405,1222
000662,485331,5825
000663,588096,1838
000664,863542,7571
000665,691917,1129
000666,177725,9631
000667,874602,1822
000668,206776,9213
000669,221738,1502
000670,851213,3393
000671,756708,7612
000672,387883,979
000673,665552,777
000674,944893,6378
000675,717312,3293
000676,861452,4372
000677,681728,8898
000678,287274,8452
000679,249265,2679
000680,853590,8095
000681,755130,1426
000682,461279,7271
000683,883080,4211
000684,859443,6828
000685,358007,2169
000686,885465,3329
000687,717658,5575
000688,100402,6100
000689,329665,1675
000690,471343,6243
000691,301644,5150
000692,316572,8784
000693,259815,5547
000694,88876,4911
000695,912905,9440
000696,749177,4724
000697,529263,7993
000698,212406,2507
000699,629828,8071
000700,286965,3086
000701,726400,3524
000702,420258,9375
000703,25767,8146
000704,492097,4290
000705,698177,1009
000706,604139,9679
000707,986938,25
000708,727862,12
000709,593981,4732
000710,922194,9802
000711,690884,5480
000712,289371,5996
000713,559945,9443
000714,210915,360
000715,929580,1098
000716,510352,1977
000717,711124,6421
000718,183618,9765
000719,823206,4478
000720,75136,7511
000721,918857,7662
000722,740488,7962
000723,228928,2564
000724,646332,5470
000725,109209,6604
000726,860911,9248
000727,452981,4226
000728,433032,8917
000729,323717,3103
000730,808455,3719
000731,332375,2809
000732,842279,9140
000733,90492,6765
000734,342268,3183
000735,627342,4281
000736,654149,8942
000737,830403,7419
000738,534917,112
000739,153657,6448
000740,429020,7399
000741,286091,5208
000742,209461,8312
000743,805884,9983
000744,788100,8385
000745,243030,9466
000746,459525,2045
000747,866743,995
000748,660549,7210
000749,983224,3593
000750,603056,9159
000751,533536,1334
000752,775527,9253
000753,842751,1273
000754,473967,6056
000755,743403,9862
000756,28782,4941
000757,946489,1840
000758,488107,135
000759,199523,9795
000760,429570,7384
000761,663039,4951
000762,21231,8362
000763,853792,1092
000764,207023,900
000765,949764,5680
000766,609737,2421
000767,961914,438
000768,717453,107
000769,321061,4853
000770,830520,2910
000771,47165,5502
000772,595688,856
000773,815691,6359
000774,467594,5806
000775,101705,3511
000776,811378,5722
000777,746716,6612
000778,284,214
000779,362152,6779
000780,327476,8529
000781,335886,1028
000782,519927,949
000783,25166,5156
000784,661084,3019
000785,395313,3561
000786,590606,5902
000787,25765,6628
000788,554824,1513
000789,169381,5326
000790,984645,7959
000791,118057,1710
000792,987137,1154
000793,620000,5142
000794,219401,8532
000795,837983,2715
000796,180701,1886
000797,269787,7938
000798,838583,885
000799,965698,1449
000800,38776,9475
000801,286425,4366
000802,351607,8581
000803,217802,7965
000804,51944,3950
000805,800734,7665
000806,732278,4781
000807,284586,2289
000808,702966,6596
000809,548679,8864
000810,706260,9004
000811,105561,5399
000812,462234,2206
000813,342560,4060
000814,807188,1018
000815,640897,9319
000816,455080,8118
000817,482110,229
000818,360155,3563
000819,468554,1977
000820,872918,6394
000821,176483,6955
000822,388047,5111
000823,691455,703
000824,855994,7324
000825,24782,6890
000826,777826,1349
000827,896880,5143
000828,532449,8105
000829,214280,125
000830,909950,3495
000831,401824,7504
000832,803484,7856
000833,386361,8664
000834,569792,9891
000835,883728,5188
000836,209122,3204
000837,987080,8069
000838,736511,355
000839,222705,347
000840,92750,7990
000841,551478,5718
000842,744226,3535
000843,120033,5809
000844,58860,594
000845,898869,7073
000846,175151,7515
000847,537517,2686
000848,53464,6760
000849,637702,849
000850,320409,4813
000851,747612,8659
000852,832834,7928
000853,533306,6210
000854,241240,8142
000855,741906,5109
000856,598139,216
000857,946721,2904
000858,78000,1781
000859,169993,5318
000860,60650,1051
000861,450464,8733
000862,263913,3775
000863,579246,1316
000864,788424,9860
000865,868110,651
000866,704939,7563
000867,898566,8141
000868,922318,8785
000869,125160,414
000870,694510,6611
000871,759431,1426
000872,195521,6465
000873,669645,2653
000874,56755,8182
000875,220365,8017
000876,663840,7465
000877,534993,7378
000878,135847,1093
000879,989925,5303
000880,607819,2645
000881,755378,7808
000882,848875,3349
000883,971865,5769
000884,717219,743
000885,352862,4403
000886,44188,4660
000887,609454,9001
000888,449387,9600
000889,662428,3495
000890,767268,5368
000891,383454,6682
000892,205405,8034
000893,253114,6582
000894,487572,1759
000895,958619,4811
000896,982787,2115
000897,200323,6073
000898,467278,7890
000899,450393,4308
000900,85119,1774
000901,785769,3951
000902,428340,8581
000903,89172,5503
000904,476749,2102
000905,484669,6099
000906,665440,6075
000907,244909,595
000908,980769,739
000909,905463,4086
000910,794376,6602
000911,93254,7854
000912,279602,7317
000913,319171,8855
000914,388564,2489
000915,574235,5556
000916,971480,2173
000917,125991,6355
000918,473498,1811
000919,665092,5094
000920,429923,1707
000921,841496,4702
000922,979060,2300
000923,67871,400
000924,543751,6106
000925,530956,8536
000926,914610,2700
000927,454762,2568
000928,761288,5243
000929,69746,3952
000930,324755,5628
000931,619446,4933
000932,908809,5188
000933,77425,422
000934,870205,6028
000935,62917,6414
000936,64169,8702
000937,772159,2563
000938,316911,9554
000939,755660,315
000940,493561,7928
000941,607182,6111
000942,993247,4510
000943,943414,6665
000944,374299,2562
000945,964848,5212
000946,587431,2471
000947,739923,3417
000948,78804,412
000949,712070,4550
000950,964158,9145
000951,246268,2168
000952,961723,2159
000953,4447,5501
000954,970194,1558
000955,971018,3126
000956,897207,3972
000957,721792,6873
000958,857106,1600
000959,155667,8992
000960,713127,9467
000961,415085,5091
000962,623220,9756
000963,541197,4997
000964,736268,4760
000965,368188,4732
000966,895452,1246
000967,770443,4576
000968,18894,4086
000969,702009,6744
000970,282936,9741
000971,813127,7227
000972,801502,1872
000973,522344,7837
000974,371755,7771
000975,613548,6916
000976,68469,7267
000977,862725,9355
000978,652939,4945
000979,332232,8819
000980,305827,9448
000981,220030,2975
000982,294503,9496
000983,554032,2669
000984,39769,5853
000985,443290,9354
000986,190578,1745
000987,230461,6605
000988,759875,6322
000989,45469,231
000990,426310,8722
000991,96910,4087
000992,317154,1672
000993,624060,77
000994,489893,7631
000995,820189,2879
000996,303390,1527
000997,890051,3111
000998,539889,7099
000999,686486,1682
001000,53565,5664
001001,397582,1443
001002,454381,1804
001003,822963,5772
001004,140574,8271
001005,513643,1580
001006,414180,9016
001007,286434,1099
001008,333730,425
001009,909187,388
001010,527380,7574
001011,621114,4180
001012,527129,3663
001013,109911,1744
001014,678996,6003
001015,668384,907
001016,9116,9594
001017,271256,2122
001018,209209,3540
001019,939795,8877
001020,385549,1402
001021,103291,4025
001022,587545,6720
001023,114666,4810
001024,739848,208
001025,655908,1257
001026,370573,1034
001027,590535,3733
001028,39394,7406
001029,286053,6719
001030,753476,9539
001031,444595,4174
001032,966558,2458
001033,833298,3647
001034,827502,7277
001035,557262,9687
001036,307323,6069
001037,217250,4146
001038,319369,6139
001039,609904,5214
001040,282767,6359
001041,993832,683
001042,614755,8498
001043,316134,1951
001044,519710,417
001045,647086,2956
001046,614714,3654
001047,683402,2805
001048,542897,3872
001049,904760,9880
001050,246449,403
001051,282972,5426
001052,816833,4118
001053,811591,4217
001054,879046,9149
001055,838963,9345
001056,41784,6436
001057,548921,7454
001058,10136,4780
001059,892083,5192
001060,828920,2485
001061,509331,5662
001062,669082,6927
001063,330441,1706
001064,505889,6292
001065,571248,792
001066,466475,8398
001067,682969,1836
001068,780533,8102
001069,784138,8627
001070,338033,1164
001071,844135,6112
001072,967943,4239
001073,239627,2826
001074,847752,5690
001075,337999,1402
001076,127673,2189
001077,605624,1688
001078,824422,4042
001079,985613,936
001080,667695,772
001081,889817,66
001082,672175,4848
001083,893266,9457
001084,386164,6968
001085,527687,9663
001086,368305,9150
001087,11772,3405
001088,90113,2553
001089,167940,1616
001090,650625,1071
001091,521833,5851
001092,535619,6535
001093,787776,2833
001094,325904,715
001095,159864,5427
001096,298209,9781
001097,735661,4854
001098,827918,4414
001099,744239,3256
001100,820474,1322
001101,281397,8593
001102,474609,3778
001103,662459,6280
001104,950310,6294
001105,178783,6684
001106,463909,2029
001107,99942,665
001108,69488,9530
001109,972355,1972
001110,919465,6726
001111,168269,3065
001112,415557,7894
001113,649877,1476
001114,628331,5808
001115,652620,6127
001116,114918,6486
001117,94657,674
001118,261866,4613
001119,825566,2706
001120,632557,4015
001121,955523,339
001122,481992,5675
001123,936148,3187
001124,719026,1925
001125,818742,8565
001126,996894,7215
001127,824077,9875
001128,982177,7718
001129,221989,864
001130,312289,1952
001131,233914,3120
001132,713440,4663
001133,510927,6196
001134,581590,8248
001135,18910,5772
001136,718472,9464
001137,243752,9851
001138,80508,8790
001139,83577,1583
001140,833980,4354
001141,589462,9427
001142,606952,1748
001143,684017,2478
001144,278951,8803
001145,984221,1225
001146,518423,2247
001147,780712,907
001148,755304,7850
001149,28964,114
001150,581455,7754
001151,296433,5792
001152,918811,4499
001153,331946,4088
001154,42590,6507
001155,302706,7453
001156,234632,6175
001157,715500,3281
001158,820565,4832
001159,178233,816
001160,181837,9882
001161,574831,9017
001162,205141,7826
001163,12872,1492
001164,533242,3419
001165,220377,7018
001166,513545,1080
001167,390405,3894
001168,967273,4620
001169,441198,3197
001170,216565,1385
001171,490244,5294
001172,256186,5379
001173,301496,5835
001174,47683,1559
001175,490227,5203
001176,56818,5914
001177,527884,4789
001178,793680,3575
001179,285667,1298
001180,564783,3627
001181,784860,9717
001182,350681,1209
001183,837338,2882
001184,130903,5152
001185,216487,8103
001186,101210,5665
001187,456255,4293
001188,606675,156
001189,248031,769
001190,132783,5853
001191,936981,3094
001192,663650,5939
001193,657528,1220
001194,276756,5152
001195,254953,8508
001196,760181,2026
001197,512770,3915
001198,270102,561
001199,400182,9171
001200,421408,690
001201,155607,5515
001202,999916,8044
001203,51466,2981
001204,511140,9666
001205,2970,7860
001206,897668,6724
001207,37311,9643
001208,637877,490
001209,264440,7830
001210,113693,785
001211,107344,5264
001212,286826,571
001213,6170,3073
001214,363984,1166
001215,778212,1539
001216,344885,5914
001217,860401,8037
001218,883136,5579
001219,105521,1024
001220,176825,1880
001221,450345,3211
001222,558993,9002
001223,279960,5714
001224,71477,2209
001225,589415,7140
001226,271297,9131
001227,54120,4746
001228,614293,262
001229,799086,9163
001230,859789,2883
001231,572761,7333
001232,730231,5903
001233,370614,7168
001234,631541,4316
001235,595602,7088
001236,303617,1855
001237,444923,3591
001238,968398,6266
001239,304259,4075
001240,569009,6795
001241,367210,8992
001242,621538,4925
001243,229372,7027
001244,941325,7026
001245,210271,3531
001246,87252,8074
001247,562642,9186
001248,953594,4305
001249,805030,4437
001250,464309,5230
001251,829276,7496
001252,831559,3342
001253,778183,9834
001254,87096,624
001255,501337,7246
001256,700512,4627
001257,26508,3707
001258,58789,5189
001259,193720,1960
001260,868231,1674
001261,802054,9571
001262,787235,3577
001263,260135,2646
001264,204067,5478
001265,77772,2608
001266,511608,1540
001267,841788,7816
001268,555371,9046
001269,881299,7236
001270,722618,1761
001271,591431,2085
001272,563287,7822
001273,410650,584
001274,577340,3399
001275,247540,8958
001276,341614,1513
001277,681565,2114
001278,599466,8154
001279,931285,925
001280,922001,1934
001281,85318,3578
001282,375566,5910
001283,855324,858
001284,971052,3827
001285,320293,8571
001286,663506,7063
001287,581198,3284
001288,522540,9640
001289,53863,617
001290,12634,5201
001291,633065,9910
001292,930250,9531
001293,565291,8587
001294,301492,215
001295,490094,9601
001296,63720,5240
001297,309200,5001
001298,389395,1912
001299,607113,4297
001300,198014,9201
001301,622234,3631
001302,393570,5890
001303,101729,5824
001304,233768,2267
001305,776911,6486
001306,624007,8488
001307,663566,9167
001308,985685,1625
001309,323291,4571
001310,249892,3163
001311,699856,5817
001312,227217,6745
001313,98410,9230
001314,336445,5878
001315,201617,2134
001316,364633,6474
001317,408676,1024
001318,14113,7916
001319,193034,3494
001320,825067,1438
001321,835903,2135
001322,79673,8325
001323,325058,7237
001324,642356,2307
001325,914795,9754
001326,428275,2572
001327,682702,6452
001328,121837,6883
001329,87271,663
001330,954035,1607
001331,982289,3341
001332,863271,75
001333,652202,3037
001334,194829,614
001335,469246,9106
001336,207971,906
001337,339093,1898
001338,472786,7328
001339,252892,8256
001340,651162,6524
001341,623382,6863
001342,513629,1671
001343,978466,1239
001344,477345,9636
001345,468832,1189
001346,168481,1904
001347,894880,7700
001348,969025,4006
001349,596644,7995
001350,358411,7324
001351,301551,9087
001352,100473,6880
001353,471345,9682
001354,417993,3171
001355,886021,1860
001356,847709,7108
001357,223208,3289
001358,888095,3588
001359,223374,6175
001360,945899,1074
001361,169047,1512
001362,439200,3072
001363,919534,3942
001364,386836,7325
001365,201966,2533
001366,15214,2013
001367,687299,2332
001368,310397,3534
001369,314311,3630
001370,544684,1999
001371,645182,8929
001372,651765,4133
001373,163671,1669
001374,724235,1344
001375,620147,873
001376,578763,9981
001377,493108,4651
001378,374900,5960
001379,955410,1309
001380,591306,5241
001381,757746,61
001382,664670,520
001383,86821,9876
001384,462299,1151
001385,804431,720
001386,652653,5652
001387,799424,1721
001388,902131,581
001389,443855,9879
001390,289047,9183
001391,35300,3426
001392,80854,2971
001393,545675,2621
001394,992084,2797
001395,603806,2867
001396,906398,115
001397,938636,1242
001398,660588,6772
001399,143117,9329
001400,344614,7024
001401,163458,332
001402,335043,3142
001403,575170,9408
001404,874795,2106
001405,586808,836
001406,180227,4615
001407,774896,3171
001408,604226,2146
001409,504195,9320
001410,381017,2220
001411,426604,3403
001412,162057,515
001413,61789,9824
001414,855675,1846
001415,250327,4255
001416,864292,1872
001417,817176,2737
001418,860233,5327
001419,530619,5811
001420,671989,3848
001421,276560,7867
001422,986467,897
001423,632567,6647
001424,89315,5423
001425,895193,1923
001426,234970,1900
001427,15297,3685
001428,175295,1641
001429,47001,3147
001430,231548,2768
001431,106065,6078
001432,452804,1673
001433,736340,8120
001434,144541,7417
001435,44417,7916
001436,937262,1961
001437,597069,3123
001438,920666,9132
001439,267829,7922
001440,512496,7874
001441,305173,6800
001442,339091,1829
001443,818908,450
001444,872863,5536
001445,20270,3408
001446,965088,5260
001447,934446,2557
001448,922598,2176
001449,582454,3111
001450,197705,8418
001451,848659,1006
001452,12118,3611
001453,486358,8410
001454,897890,8155
001455,901629,3991
001456,438194,1357
001457,770321,8549
001458,480513,9073
001459,296898,1527
001460,198344,5770
001461,444279,8502
001462,481614,3627
001463,475122,4595
001464,991237,5255
001465,116919,137
001466,955335,4347
001467,686838,9621
001468,719295,9774
001469,416279,8050
001470,178487,9703
001471,889247,9887
001472,563724,9621
001473,374190,10000
001474,194286,2802
001475,243292,2730
001476,855451,8318
001477,938740,8686
001478,25871,461
001479,692067,9417
001480,891321,3370
001481,334666,8846
001482,966997,1867
001483,428474,8628
001484,644448,7679
001485,805004,2149
001486,178508,5681
001487,405184,821
001488,774137,8755
001489,621968,2636
001490,783366,6420
001491,525084,838
001492,242649,9239
001493,915360,40
001494,81656,30
001495,890768,2588
001496,924907,257
001497,38471,555
001498,629566,6526
001499,278678,6387
001500,546429,3161
001501,499644,8628
001502,128652,7623
001503,533961,4598
001504,957086,4943
001505,255125,1921
001506,244879,5143
001507,141688,4681
001508,951165,4720
001509,839255,641
001510,682264,180
001511,360244,86
001512,102521,4583
001513,359345,4691
001514,389200,9879
001515,125299,8582
001516,643527,1776
001517,928964,6921
001518,707152,1411
001519,551781,9416
001520,121949,3416
001521,240976,619
001522,425472,1832
001523,507143,4659
001524,20049,5784
001525,357642,1855
001526,859698,5265
001527,530617,1035
001528,9351,6042
001529,614931,1699
001530,433538,6764
001531,876562,4642
001532,78714,8433
001533,61257,8486
001534,911350,8912
001535,343119,4407
001536,694122,3186
001537,936802,6099
001538,989980,7268
001539,800121,65
001540,33543,8739
001541,231865,1601
001542,285786,8686
001543,738937,2746
001544,447968,5006
001545,117848,1209
001546,410367,6266
001547,384924,9338
001548,499165,3436
001549,344905,5652
001550,813619,9793
001551,194265,8536
001552,858610,3227
001553,812610,9873
001554,953711,4702
001555,330459,7268
001556,431726,1444
001557,835693,1314
001558,54063,5812
001559,104928,7132
001560,810603,1909
001561,225297,3953
001562,572781,5576
001563,318732,8874
001564,970244,9
001565,183333,6885
001566,111959,3127
001567,255421,3628
001568,550888,2664
001569,315312,1139
001570,747730,6936
001571,236646,361
